"","PhytoDate","WQDate","StationCode","Month","Year","Latitude","Longitude","Genus","CarbonperML","AirTemp","Chla","Pheophytin","TotAmmonia","DissAmmonia","DissNitrateNitrite","DOC","TOC","DON","TON","DissOrthophos","TotPhos","DissSilica","TDS","TSS","TKN","Depth","Secchi","Microcystis","SpCndSurface","DOSurface","WTSurface"
"54",2011-04-13,2011-04-13,"D4",4,2011,38.06248,-121.8205,"Microcystis",0,NA,"3.72","1.38",NA,"0.03","0.1","2.3","2.3","0.1",NA,"0.02",0.05,"15.4",98,"10","0.3",35.9,68,NA,158,9.9,13.7
"55",2011-04-13,2011-04-13,"D8",4,2011,38.05992,-121.99,"Microcystis",0,NA,"5.06","1.41",NA,"0.03","0.14","2.5","2.6","0.2",NA,"0.03",0.07,"14.9",99,"8","0.3",41.7,68,NA,174,9.6,14.3
"56",2011-04-13,2011-04-14,"EZ2",4,2011,38.041,-122.115,"Microcystis",0,NA,"3.76","1",NA,"0.11","0.14","2.8","3","0.2",NA,"0.03",0.07,"15",152,"14","0.4",39.5,50,NA,275,9.7,14.6
"57",2011-04-13,2011-04-14,"EZ6",4,2011,38.0444,-122.1177,"Microcystis",0,NA,"4.94","1.61",NA,"0.03","0.14","2.6","2.7","0.2",NA,"0.03",0.04,"15.4",653,"23","0.2",38.7,60,NA,1177,9.6,14.7
"58",2011-04-14,2011-04-14,"D6",4,2011,38.04436,-122.1177,"Microcystis",0,NA,"4.99","1.61",NA,"0.02","0.11","2.7","2.9","0.2",NA,"0.02",0.06,"15.1",653,"21","0.3",38.7,60,NA,1177,9.6,14.7
"59",2011-04-14,2011-04-14,"D7",4,2011,38.11714,-122.0397,"Microcystis",0,NA,"5.66","1.82",NA,"0.02","0.1","2.5","2.6","0.2",NA,"0.03",0.07,"15.3",101,"24","0.4",4.9,32,NA,175,10,13.5
"60",2011-04-15,2011-04-15,"D41",4,2011,38.03022,-122.3729,"Microcystis",0,NA,"5.19","0.89",NA,"0.03","0.22","1.3","1.5","0.2",NA,"0.04",0.08,"11.6",11240,"18","0.4",41.7,64,NA,19848,8.4,13.7
"61",2011-04-15,2011-04-15,"D41A",4,2011,38.08472,-122.3907,"Microcystis",0,NA,"5.37","2.38",NA,"0.04","0.21","1.9","2.2","0.2",NA,"0.05",0.14,"12.7",8710,"78","0.5",4,36,NA,14816,8.8,14
"62",2011-05-09,2011-05-09,"C10A",5,2011,37.67934,-121.2647,"Microcystis",0,NA,"5.34","2.51",NA,"0.02","0.17","3.1","3.7","0.3",NA,"0.04",0.14,"10.7",78,"36","0.4",NA,NA,NA,122,8,16.4
"63",2011-05-09,2011-05-09,"C3A",5,2011,38.36771,-121.5205,"Microcystis",0,NA,"3.11","2.16",NA,"0.1","0.05","1.3","1.3","0.1",NA,"0.02",0.04,"14.4",52,"22","0.3",8.3,84,NA,88,9.8,14.7
"64",2011-05-10,2011-05-10,"D19",5,2011,38.04376,-121.6148,"Microcystis",0,NA,"1.95","0.83",NA,"0.03","0.11","3","3","0.1",NA,"0.03",0.04,"10.3",90,"4","0.2",15.6,184,NA,142,9,17.6
"65",2011-05-10,2011-05-10,"D28A",5,2011,37.97048,-121.573,"Microcystis",0,NA,"1.29","0.73",NA,"0.04","0.27","3.7","3.8","0.3",NA,"0.07",0.12,"9.7",118,"4","0.4",23.7,128,NA,206,8.05,18.3
"66",2011-05-11,2011-05-11,"D26",5,2011,38.07664,-121.5669,"Microcystis",0,NA,"1.8","0.66",NA,"0.04","0.13","2.7","2.7","0.2",NA,"0.03",0.06,"11.2",74,"4","0.3",39.2,140,NA,133,8.9,17.5
"67",2011-05-11,2011-05-11,"MD10A",5,2011,38.04226,-121.4199,"Microcystis",0,NA,"5.31","1.14",NA,"0.01","0.11","4.1","4.2","0.2",NA,"0.07",0.11,"6.6",118,"4","0.3",17.6,140,NA,212,8.5,19.9
"68",2011-05-11,2011-05-11,"P8",5,2011,37.97817,-121.3823,"Microcystis",0,NA,"6.09","1.46",NA,"0.03","0.38","3.3","3.5","0.2",NA,"0.07",0.11,"10.7",128,"8","0.3",38.7,88,NA,231,8.6,18.7
"69",2011-05-12,2011-05-12,"D4",5,2011,38.06248,-121.8205,"Microcystis",0,NA,"3.92","0.96",NA,"0.03","0.1","2.1","2.1","0.1",NA,"0.02",0.05,"12.6",73,"10","0.2",34.2,88,NA,132,9.2,17
"70",2011-05-12,2011-05-12,"D8",5,2011,38.05992,-121.99,"Microcystis",0,NA,"4.34","1.23",NA,"0.03","0.12","2.2","2.3","0.1",NA,"0.03",0.04,"12.8",78,"14","0.2",38,72,NA,141,9.2,17.1
"71",2011-05-13,2011-05-13,"D7",5,2011,38.11714,-122.0397,"Microcystis",0,NA,"9.29","2.37",NA,"0.01","0.12","2.3","2.4","0.1",NA,"0.03",0.07,"12.9",197,"33","0.2",5.3,44,NA,358,9.3,17
"72",2011-05-16,2011-05-16,"D41",5,2011,38.03022,-122.3729,"Microcystis",0,NA,"4.13","1.87",NA,"0.06","0.23","0.8","1","0.2",NA,"0.05",0.12,"9.6",13970,"59","0.4",40.4,40,NA,20266,8.1,15.7
"73",2011-05-16,2011-05-16,"D41A",5,2011,38.08472,-122.3907,"Microcystis",0,NA,"5.04","2.42",NA,"0.04","0.24","1.1","1.3","0.2",NA,"0.06",0.16,"9.2",14690,"111","0.5",6.9,20,NA,20397,8.5,15.4
"74",2011-05-16,2011-05-16,"D6",5,2011,38.04436,-122.1177,"Microcystis",0,NA,"5.13","2.5",NA,"0.05","0.16","2","2.5","0.1",NA,"0.04",0.1,"12",2650,"54","0.3",42.7,28,NA,4290,8.8,16.3
"75",2011-05-16,2011-05-16,"EZ2",5,2011,38.0595,-122.0702,"Microcystis",0,NA,"6.09","1.91",NA,"0.03","0.12","2.2","2.5","0.1",NA,"0.03",0.08,"12.2",920,"36","0.3",44.9,32,NA,1475,9.2,16.6
"76",2011-05-16,2011-05-16,"EZ6",5,2011,38.0358,-122.1616,"Microcystis",0,NA,"4.86","1.98",NA,"0.05","0.16","2.1","2.4","0.1",NA,"0.04",0.09,"11.9",2220,"56","0.3",39.7,28,NA,3746,8.8,16.3
"77",2011-06-06,2011-06-06,"C10A",6,2011,37.67934,-121.2647,"Microcystis",0,NA,"5.98","3.07",NA,"ND","0.45","2.4","2.6","0.2",NA,"0.03",0.09,"10.5",102,"31","0.4",NA,NA,NA,169,9.1,14.8
"78",2011-06-06,2011-06-06,"C3A",6,2011,38.36771,-121.5205,"Microcystis",0,NA,"3.43","1.34",NA,"0.09","0.1","1.9","2","0.1",NA,"0.02",0.05,"15.9",77,"23","0.3",8.8,80,NA,119,9.7,14.6
"79",2011-06-06,2011-06-06,"D19",6,2011,38.04376,-121.6148,"Microcystis",0,NA,"1.36","0.83",NA,"0.02","0.14","2.4","2.4","0.2",NA,"0.04",0.05,"10.8",95,"2","0.3",12,160,NA,170,8.8,17.4
"80",2011-06-06,2011-06-06,"D28A",6,2011,37.97048,-121.573,"Microcystis",0,NA,"0.88","0.51",NA,"0.02","0.2","2.9","2.8","0.3",NA,"0.05",0.07,"9.3",114,"2","0.3",21.6,200,NA,207,8.7,18.1
"81",2011-06-07,2011-06-07,"D26",6,2011,38.07664,-121.5669,"Microcystis",0,NA,"0.74","0.6",NA,"0.05","0.17","1.6","1.6","0.2",NA,"0.03",0.04,"12.9",77,"2","0.2",40.9,156,NA,139,8.85,16.7
"82",2011-06-07,2011-06-07,"MD10A",6,2011,38.04226,-121.4199,"Microcystis",0,NA,"2.24","1.08",NA,"0.02","0.18","3.1","3.1","0.3",NA,"0.06",0.09,"10",119,"5","0.4",15.2,116,NA,216,7.15,18.6
"83",2011-06-07,2011-06-07,"P8",6,2011,37.97817,-121.3823,"Microcystis",0,NA,"5.34","2.29",NA,"0.03","0.52","2.2","2.1","0.2",NA,"0.05",0.08,"10.2",103,"11","0.3",39.1,60,NA,186,8.9,16.4
"84",2011-06-08,2011-06-08,"D4",6,2011,38.06248,-121.8205,"Microcystis",0,NA,"1.46","0.66",NA,"0.06","0.14","1.7","1.8","0.1",NA,"0.03",0.05,"14.4",81,"9","0.3",34.4,92,NA,147,8.85,16.7
"85",2011-06-08,2011-06-08,"D8",6,2011,38.05992,-121.99,"Microcystis",0,NA,"2.23","0.62",NA,"0.05","0.16","1.7","1.7","0.2",NA,"0.04",0.05,"13.4",91,"9","0.3",40.5,72,NA,164,8.75,16.9
"86",2011-06-08,2011-06-08,"EZ2",6,2011,38.064,-122.0317,"Microcystis",0,NA,"2.56","0.9",NA,"0.06","0.17","2","2","0.1",NA,"0.04",0.07,"13.7",166,"13","0.3",37,56,NA,300,8.75,16.8
"87",2011-06-08,2011-06-08,"EZ6",6,2011,38.0652,-122.0558,"Microcystis",0,NA,"3.14","0.89",NA,"0.06","0.2","2","2","0.1",NA,"0.04",0.06,"13.6",385,"16","0.3",39.3,48,NA,637,8.75,16.8
"88",2011-06-09,2011-06-09,"D7",6,2011,38.11714,-122.0397,"Microcystis",0,NA,"5.07","1.32",NA,"0.04","0.17","2","2.1","0.2",NA,"0.04",0.04,"14.4",102,"25","0.2",5.6,44,NA,183,8.9,17.3
